NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,484955291,4.2.1.	Investigacion para mejorar la eficiencia en el uso de los recursos naturales la productividad y la sostenibilidad ambiental de pequenos y medianos productores del departamento de Narino.
No disponible,484960205,4.2.1.	Investigacion para mejorar la eficiencia en el uso de los recursos naturales la productividad y la sostenibilidad ambiental de pequenos y medianos productores del departamento de Narino.
No disponible,484751783,4.2.1.	Investigacion para mejorar la eficiencia en el uso de los recursos naturales la productividad y la sostenibilidad ambiental de pequenos y medianos productores del departamento de Narino.
No disponible,484960205,4.2.2.	Desarrollar procesos y tecnologias para el mejoramiento de la productividad que implementen valor agregado en el departamento de Narino.
No disponible,483272970,4.2.2.	Desarrollar procesos y tecnologias para el mejoramiento de la productividad que implementen valor agregado en el departamento de Narino.
No disponible,483431530,4.2.2.	Desarrollar procesos y tecnologias para el mejoramiento de la productividad que implementen valor agregado en el departamento de Narino.
No disponible,484369163,4.1.3. Investigaciones sobre resiliencia y medidas de adaptacion al cambio climatico de sistemas socio-ecologicos en el departamento de Narino.
No disponible,349939916,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349285952,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,346599750,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349934777,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,348964350,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,346971909,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,349997813,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,348323199,SALUD MATERNA Y PERINATAL
No disponible,349773413,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349733475,SALUD AMBIENTAL
No disponible,238649443,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349864245,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349964632,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,270799972,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,349551038,SALUD MATERNA Y PERINATAL
No disponible,348664182,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,344749999,SISTEMAS Y SERVICIOS DE ATENCION DE SALUD
No disponible,350000000,RESISTENCIA ANTIMICROBIANA.
No disponible,348179084,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,280751414,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349848965,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349125000,CANCER-CUELLO UTERINO-SENO-PROSTATA Y ESTOMAGO
No disponible,315672407,SALUD MENTAL - DEPRESION ANSIEDAD SUICIDIO Y CONSUMO DE SUSTANCIAS PSICOACTIVAS
No disponible,344352750,SALUD MATERNA Y PERINATAL
No disponible,349974744,SALUD MATERNA Y PERINATAL
No disponible,349977091,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349867052,SALUD MATERNA Y PERINATAL
No disponible,349970250,ENFERMEDADES TRANSMISIBLES E INFECCIOSAS-MALARIA-DENGUE-VIH/SIDA-TUBERCULOSIS
No disponible,347847443,SALUD AMBIENTAL
No disponible,349329855,SALUD AMBIENTAL
No disponible,341352893,SALUD AMBIENTAL
No disponible,349991597,SALUD AMBIENTAL
No disponible,349889358,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,285494200,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,349382468,ENFERMEDADES CRONICAS NO TRANSMISIBLES-CARDIO-CEREBRO-VASCULAR-METABOLICO
No disponible,319602045,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349973400,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,348285000,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,329844528,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,335757930,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349813364,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,341100000,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,349950337,RESISTENCIA ANTIMICROBIANA.
